Program/Agency Name,Project Name,Sub-Project Name,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,total_10years,Ward Number,Ward,Category
Transportation Services,Ditch Rehabilitation and Culvert Reconstruction,2023 Adjustment Commitments,1400,1000,1000,0,0,0,0,0,0,0,3400,CW,City Wide,State of Good Repair C03
Transportation Services,Port Union Road,2018 Adjust Cash Flow for 2018 to 2021,3550,0,0,0,0,0,0,0,0,0,3550,25,Scarborough-Rouge Park,Growth Related C05
Transportation Services,Port Union Road,2023 Q1 Q2 Adjustment,8927,218,0,0,0,0,0,0,0,0,9145,25,Scarborough-Rouge Park,Growth Related C05
Transportation Services,Rean to Kenaston New Road,2023 Adjustment Commitments,4454,0,0,0,0,0,0,0,0,0,4454,18,Willowdale,Growth Related C05
Transportation Services,Surface Network Transit Plan,2021 to 2024,13362,28144,0,0,0,0,0,0,0,0,41506,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Surface Network Transit Plan,2021 to 2024,1363,2110,0,0,0,0,0,0,0,0,3473,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,IT EWMS Improvement,IT EWMS Improvement,340,226,0,0,0,0,0,0,0,0,566,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Don Mills Crossing Bridge,2023 Adjustment Commitments,0,0,0,4500,0,0,0,0,0,0,4500,16,Don Valley East,Growth Related C05
Transportation Services,LARP P2 (Lawrence-Allen Revitalization Project),2022 Submision,0,-1869,-924,0,0,0,0,0,0,0,-2793,8,Eglinton-Lawrence,Growth Related C05
Transportation Services,RSP Traffic Signals Major Modifications,2022 Adjustment Commitments,0,192,192,0,0,0,0,0,0,0,384,CW,City Wide,Health and Safety C01
Transportation Services,RSP Missing Link Sidewalk,2022 Adjustment Commitments,0,1200,1200,0,0,0,0,0,0,0,2400,CW,City Wide,Health and Safety C01
Transportation Services,RSP Missing Link Sidewalk,2022 Year End Adjustment,0,-20,0,0,0,0,0,0,0,0,-20,CW,City Wide,Health and Safety C01
Transportation Services,Eglinton Connects LRT,2022 Year End Adjustment,-269,0,0,0,0,0,0,0,0,0,-269,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Road Safety Plan (LGSI and SCSPEA),2024 Adjustment Commitments,240,0,0,0,0,0,0,0,0,0,240,CW,City Wide,Health and Safety C01
Transportation Services,Cycling Infrastructure,MM7.4 Bloor Street West,1400,0,0,0,0,0,0,0,0,0,1400,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Neighbourhood Improvements,N.I. Oriole Parkway,0,334,0,0,0,0,0,0,0,0,334,12,Toronto-St. Pauls,Service Improvement and Enhancement C04
Transportation Services,Neighbourhood Improvements,C.I. Trent Kelvin Luttrell,0,150,0,0,0,0,0,0,0,0,150,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Neighbourhood Improvements,2021 Final Year End Adjustment,552,0,0,0,0,0,0,0,0,0,552,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Neighbourhood Improvements,2022 Q1 In-year Adjustment,0,4000,0,0,0,0,0,0,0,0,4000,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Neighbourhood Improvements,2023 Adjustment Commitments,0,0,2000,2000,2000,0,0,0,0,0,6000,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,Neighbourhood Improvements,2022 Year End Adjustment,-1449,0,0,0,0,0,0,0,0,0,-1449,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,TO360 Wayfinding,TO360 2020 Adjustment Commitmetns,899,0,0,0,0,0,0,0,0,0,899,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,TO360 Wayfinding,2022 Commitment Adjustment,-140,519,0,0,0,0,0,0,0,0,379,CW,City Wide,Service Improvement and Enhancement C04
Transportation Services,TO360 Wayfinding,2023 Adjustment Commitments,85,0,0,0,0,0,0,0,0,0,85,CW,City Wide,Service Improvement and Enhancement C04
Fleet Services,Transportation-Fleet Replacement,TP - Fleet Replacement - 2030,0,0,0,0,0,0,859.5,7735.3,0,0,8594.8,CW,City Wide,State of Good Repair C03
Fleet Services,Exhibition Place - Fleet Replacement,Ex - Fleet Replacement - 2028,0,0,0,0,450,0,0,0,0,0,450,CW,City Wide,State of Good Repair C03
Fleet Services,Exhibition Place - Fleet Replacement,Ex - Fleet Replacement - 2030,0,0,0,0,0,0,400,0,0,0,400,CW,City Wide,State of Good Repair C03
Fleet Services,Zoo-Fleet Replacement,Zoo - Fleet Replacement - 2025,0,496,0,0,0,0,0,0,0,0,496,CW,City Wide,State of Good Repair C03
Fleet Services,Facilities Mgmt & Real Estate - Fleet Replacement,FA - Fleet Replacement - 2027,0,0,0,2235.1,0,0,0,0,0,0,2235.1,CW,City Wide,State of Good Repair C03
Fleet Services,Facilities Mgmt & Real Estate - Fleet Replacement,FA - Fleet Replacement - 2032,0,0,0,0,0,0,0,0,0,352.3,352.3,CW,City Wide,State of Good Repair C03
Fleet Services,Facilities Mgmt & Real Estate - Fleet Replacement,FA - Fleet Replacement - 2031,0,0,0,0,0,0,0,375.7,0,0,375.7,CW,City Wide,State of Good Repair C03
Fleet Services,Purchasing & Materials Mgmt- Fleet Replacement,PMMD - Fleet Replacement - 2030,0,0,0,0,0,0,70.7,0,0,0,70.7,CW,City Wide,State of Good Repair C03
Fleet Services,Municipal Licensing & Standards-Fleet Replacement,MLS - Fleet Replacement - 2028,0,0,0,0,2814,0,0,0,0,0,2814,CW,City Wide,State of Good Repair C03
Fleet Services,Toronto Building - Fleet Replacement,BL - Fleet Replacement - 2029,0,0,0,0,0,130.4,0,0,0,0,130.4,CW,City Wide,State of Good Repair C03
Fleet Services,Toronto Water - Fleet Replacement,TW - Fleet Replacement - 2033,0,0,0,0,0,0,0,0,0,3738,3738,CW,City Wide,State of Good Repair C03
Fleet Services,Fire-Fleet Replacement,Fire - Fleet Replacement - 2030,0,0,0,0,0,0,0,1577,19610,0,21187,CW,City Wide,State of Good Repair C03
Fleet Services,Fleet Services - Fleet Replacement,FSD - Fleet Replacement - 2033,0,0,0,0,0,0,0,0,0,125.3,125.3,CW,City Wide,State of Good Repair C03
Fleet Services,"Parks, Forestry & Recreation-Fleet Replacement",PFR - Fleet Replacement - 2033,0,0,0,0,0,0,0,0,0,5521.3,5521.3,CW,City Wide,State of Good Repair C03
Fleet Services,Fleet - Tools & Equipment,FSD - Tools & Equipment - 2025,0,260.6,0,0,0,0,0,0,0,0,260.6,CW,City Wide,State of Good Repair C03
Fleet Services,ZEV Fleet Replacement,ZEV Fleet Replacement - 2025,0,50,0,0,0,0,0,0,0,0,50,CW,City Wide,Legislated C02
Fleet Services,Solid Waste - Fleet Replacement,SWM - Fleet Replacement - 2030,0,0,0,0,0,0,11355,22710,22710,0,56775,CW,City Wide,State of Good Repair C03
Fleet Services,Library - Fleet Replacement,TPL - Fleet Replacement - 2025,0,368.9,0,0,0,0,0,0,0,0,368.9,CW,City Wide,State of Good Repair C03
Fleet Services,Clerks - Fleet Replacement,Clerks - Fleet Replacement - 2030,0,0,0,0,0,0,255,0,0,0,255,CW,City Wide,State of Good Repair C03
Fleet Services,Paramedics-Fleet Replacement,Paramedics - Fleet Replacement - 2029,0,0,0,0,0,19300,0,0,0,0,19300,CW,City Wide,State of Good Repair C03
Fleet Services,Paramedics-Fleet Replacement,Paramedics - Fleet Replacement - 2032,0,0,0,0,0,0,0,0,25600,0,25600,CW,City Wide,State of Good Repair C03
Fleet Services,EDCT - Fleet Replacement,EDCT - Fleet Replacement - 2025,0,32.2,0,0,0,0,0,0,0,0,32.2,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,132 Bellevue Ave-Replace Unit Heater,0,0,0,0,0,0,0,85,7,7,99,11,University-Rosedale,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,2075 BAYVIEW AVE-CO Detection,0,0,0,0,0,0,0,41,4.5,4.5,50,15,Don Valley West,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,900 Tapscott -Repl Domestic Hot Water Heater,0,0,0,0,0,0,0,24,2.05,2.05,28.1,23,Scarborough-North,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St - Various Projects - Mechanical 1,0,3,19,0,0,0,0,0,0,0,22,6,York Centre,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St -Various Projects - Mech.1,0,0,0,15,160,0,0,0,0,0,175,6,York Centre,State of Good Repair C03
Corporate Real Estate Management,Structural/Building Envelope,662 Jane-RplWindows&FrontEntrance,0,0,0,0,0,0,7,111,0,0,118,5,York South-Weston,State of Good Repair C03
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-Various SOGR Work on Building Envelope2026,0,0,0,0,0,0,0,54.87,2443.32,5551,8049.1900000000005,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-SOGR Building Envelope 2029,0,0,0,0,37,0,596,0,0,0,633,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Sitework,"116 Dorset-Parking,Alarm,Ext Lighting",0,0,0,0,0,0,0,174,13,13,200,20,Scarborough Southwest,State of Good Repair C03
Corporate Real Estate Management,Sitework,891 Morningside-Asphalt PAvement (Visitor Parking,0,0,0,0,0,0,0,0,0,930,930,25,Scarborough-Rouge Park,State of Good Repair C03
Corporate Real Estate Management,Sitework,100 Queen-Rehab Elevated Walkways,0,0,0,0,0,1256,0,0,0,0,1256,10,Spadina-Fort York,State of Good Repair C03
Corporate Real Estate Management,Structural/Building Envelope,Various locations -Technical Audits & Capital Proj,0,500,0,0,986,0,0,0,0,0,1486,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Renovations,150 Borough-renovate WCs and Kitchenette,0,0,0,0,0,37,218,0,0,0,255,21,Scarborough Centre,State of Good Repair C03
Corporate Real Estate Management,Renovations,Various SOGR Work on Interior Systems 2027,0,0,0,21,442,0,0,0,0,0,463,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Re-roofing,1401 CASTLEFIELD-Modified Bitumen Roof Replacement,0,0,0,0,0,0,0,93.29,16.16,16,125.45,8,Eglinton-Lawrence,State of Good Repair C03
Corporate Real Estate Management,Real Estate Services,Strategic Projects - Feasibility,0,750,750,750,750,750,750,50,50,50,4650,CW,City Wide,Service Improvement and Enhancement C04
Technology Services,Corporate Initiatives,Class Replacement - Ent Implementation & Decomm,-796,124,0,0,0,0,0,0,0,0,-672,CW,City Wide,Service Improvement and Enhancement C04
Technology Services,Corporate Planning & Management,API Cloud Migration,22,0,0,0,0,0,0,0,0,0,22,CW,City Wide,State of Good Repair C03
Technology Services,Technology Infrastructure,Directory Services Transition - Phase 2,-46,198,0,0,0,0,0,0,0,0,152,CW,City Wide,State of Good Repair C03
Technology Services,Innovation Partnership,ConnectTO - Network Utility,500,0,0,0,0,0,0,0,0,0,500,CW,City Wide,Service Improvement and Enhancement C04
Technology Services,Network Upgrade,Disaster Recovery scope change,0,950,0,0,0,0,0,0,0,0,950,CW,City Wide,State of Good Repair C03
Technology Services,Strategic Communication,Employee Communications Modernization,0,0,0,0,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement C04
Fleet Services,Library - Fleet Replacement,TPL - Fleet Replacement - 2021,143.4,0,0,0,0,0,0,0,0,0,143.4,CW,City Wide,State of Good Repair C03
Fleet Services,ZEV Charging Infrastructure,ZEV Charging Infrastructure - 2024,5870.5,0,0,0,0,0,0,0,0,0,5870.5,CW,City Wide,Legislated C02
Technology Services,Technology Modernization,Digital Service Enhancement,600,0,0,0,0,0,0,0,0,0,600,CW,City Wide,Service Improvement and Enhancement C04
Technology Services,Asset Lifecycle Management,Enterprise Storage Replacement,1900,1900,1700,1000,1125,1125,1625,1050,1525,1900,14850,CW,City Wide,State of Good Repair C03
Technology Services,Asset Lifecycle Management,Enterprise Software Replacement,1187,1187,947,900,900,900,950,1090,950,900,9911,CW,City Wide,State of Good Repair C03
Technology Services,Fleet Services,"Fleet Services Driver, Accident and Fine Mgmt",304,954,0,0,0,0,0,0,0,0,1258,CW,City Wide,Service Improvement and Enhancement C04
Technology Services,Microsoft Access Application,Modernization of Microsoft Access Application - P,475,1596,0,0,0,0,0,0,0,0,2071,CW,City Wide,State of Good Repair C03
Technology Services,Application Systems,Enterprise Business Intelligence Implementation,336,1363,600,0,0,0,0,0,0,0,2299,CW,City Wide,Service Improvement and Enhancement C04
Technology Services,Application Systems,EIMPP - LLRS Replacement,400,0,0,0,0,0,0,0,0,0,400,CW,City Wide,Service Improvement and Enhancement C04
Fleet Services,Fleet Services - Fleet Replacement,FSD - Fleet Replacement - 2024,0,600.1,102.5,0,0,0,0,0,0,0,702.6,CW,City Wide,State of Good Repair C03
Fleet Services,Toronto Community Housing Corp.- Fleet Replacement,TCHC - Fleet Replacement - 2023,831.6,0,0,0,0,0,0,0,0,0,831.6,CW,City Wide,State of Good Repair C03
Fleet Services,"Parks, Forestry & Recreation-Fleet Replacement",PFR - Fleet Replacement - 2025,0,2440,3660,0,0,0,0,0,0,0,6100,CW,City Wide,State of Good Repair C03
Fleet Services,EDCT - Fleet Replacement,EDCT - Fleet Replacement - 2023,118.5,0,0,0,0,0,0,0,0,0,118.5,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Emergency,Fire and Life Safety Audits 2024,2000,0,0,0,0,0,0,0,0,0,2000,CW,City Wide,Health and Safety C01
Corporate Real Estate Management,Transform TO,Transform TO - ECDM 2021,-1600,800,800,0,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement C04
Corporate Real Estate Management,Re-roofing,VarLocs-SOGR Re-roofing 2021,584,1101,503,0,0,0,0,0,0,0,2188,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Renovations,Small Capital Work Renovation,500,0,0,0,0,0,0,0,0,0,500,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Special Corporate Projects,Life Cycle Asset Mgmt Preventative Mtc Prog,485,0,0,0,0,0,0,0,0,0,485,CW,City Wide,Service Improvement and Enhancement C04
Corporate Real Estate Management,Property Acquisitions,School Lands Properties Acquisition,0,-2500,-2500,-2500,-2250,-2250,0,0,0,0,-12000,CW,City Wide,Growth Related C05
Corporate Real Estate Management,Barrier Free/Equity,Var Locs-AODA-Phase 2,-2389,10799,0,0,0,0,0,0,0,0,8410,CW,City Wide,Legislated C02
Corporate Real Estate Management,Structural/Building Envelope,Var Locs-Client Projects 2024,1500,500,0,0,0,0,0,0,0,0,2000,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-SOGR Building Envelope 2020,900,0,0,0,0,0,0,0,0,0,900,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-SOGR Building Envelope 2020,1100,500,100,0,0,0,0,0,0,0,1700,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,3100 Eglinton Ave E - Mech & Elect,2.5,0,16.5,0,0,0,0,0,0,0,19,24,Scarborough-Guildwood,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,ECC - Critical SOGR Small Capital Work,-300,0,0,0,0,0,0,0,0,0,-300,2,Etobicoke Centre,State of Good Repair C03
Corporate Real Estate Management,Mechanical and Electrical,VarLocs-SOGR Mech&Elect Sys 2022,1800,1100,800,0,0,0,0,0,0,0,3700,CW,City Wide,State of Good Repair C03
Corporate Real Estate Management,Emergency,Var Locs -Emergency Capital Repairs-2024,1000,0,0,0,0,0,0,0,0,0,1000,CW,City Wide,State of Good Repair C03
City Clerk's Office,Election Supply Logistics Transformation,Election Supply Chain Logistics - Tracking Tech p1,100,0,0,0,0,0,0,0,0,0,100,CW,City Wide,Legislated C02
City Clerk's Office,Public Appointments Information System,Public Appointments SOGR 2023-2024,275,0,0,0,0,0,0,0,0,0,275,CW,City Wide,Legislated C02
City Clerk's Office,Archives Strategic Plan Implementation SOGR,Archives Equipment Upgrade - SOGR 2022-2025,-75,-50,0,0,0,0,0,0,0,0,-125,CW,City Wide,State of Good Repair C03
Corporate Initiatives,Ontario Place Development Plans,Ontario Place Development Plans,373,0,0,0,0,0,0,0,0,0,373,10,Spadina-Fort York,Growth Related C05
Accountability Offices,Ombudsman Case Management System SOGR,Ombudsman Case Management System Replacement 2025,0,350,350,0,0,0,0,0,0,0,700,CW,City Wide,State of Good Repair C03
City Clerk's Office,Toronto Election Management Info System (TEMIS),2030 Election Technology Program,0,0,0,805,865,3100,745,540,0,0,6055,CW,City Wide,Legislated C02
City Clerk's Office,Council Business Systems,Council Business Systems 2030-2034,0,0,0,0,0,0,0,0,0,485,485,CW,City Wide,Legislated C02
Toronto Public Library,Technology Asset Management Program,Technology Asset Management Program,3300,3722,0,0,0,0,0,0,0,0,7022,CW,City Wide,State of Good Repair C03
Toronto Public Library,Lillian H Smith Renovation & Expansion,Lillian H Smith Renovation-Design (SOGR),0,86,1013,910,0,0,0,0,0,0,2009,11,University-Rosedale,Growth Related C05
Toronto Public Library,Multi-Branch Renovation,Multi-Branch Renovation SOGR  scope change,0,69,0,0,0,0,0,0,0,0,69,CW,City Wide,State of Good Repair C03
Toronto Public Library,St. Lawrence Relocation & Expansion,St. Lawrence Relocation & Expansion - Design (S4),0,0,131,0,0,0,0,0,0,0,131,13,Toronto Centre,Growth Related C05
Exhibition Place,FOOD BUILDING,Lighting,400,0,0,0,0,0,0,0,0,0,400,10,Spadina-Fort York,State of Good Repair C03
Toronto Police Service,Next Generation 911 (NG911),NG911 2024-2033 Additional requirements,1068,0,0,0,0,0,0,0,0,0,1068,CW,City Wide,Legislated C02
Toronto Police Service,Long Term Facility Plan,41 Division 2022 - 2031 Cost Escalation,2364,0,0,0,0,0,0,0,0,0,2364,CW,City Wide,Service Improvement and Enhancement C04
Toronto Zoo,Savanna Indoor Winter Holding & Viewing,Savanna Indoor Winter Holding & Viewing - Design,800,0,0,0,0,0,0,0,0,0,800,25,Scarborough-Rouge Park,Service Improvement and Enhancement C04
Toronto Zoo,Welcome Area Redesign,Welcome Area - Construction,17307,0,0,0,0,0,0,0,0,0,17307,25,Scarborough-Rouge Park,State of Good Repair C03
Toronto Zoo,Building & Services Refurbishment,Building & Services Refurbishment (Current),3450,0,0,0,0,0,0,0,0,0,3450,25,Scarborough-Rouge Park,State of Good Repair C03
Exhibition Place,OTHER BUILDINGS,Bandshell Dry Drums Replacement -Fire Life Safety,0,0,0,0,50,0,0,0,0,0,50,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,BETTER LIVING CENTRE,Fire Alarm System Replacement,60,0,0,0,50,0,0,0,0,0,110,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,COLISEUM COMPLEX,"Drywall, Ceilings & Flooring Renovation(North Ext)",0,0,405,0,0,0,0,0,0,0,405,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,QUEEN ELIZABETH BUILDING,Substation Retrofit,0,0,0,0,200,0,0,0,0,0,200,10,Spadina-Fort York,State of Good Repair C03
Exhibition Place,QUEEN ELIZABETH BUILDING,Elevators Retrofit,0,0,200,200,0,200,0,0,0,0,600,10,Spadina-Fort York,State of Good Repair C03
